panelist-id,age,gender,children,marital,Household Size,Social Class,Working Status,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type
77408,45-64,F,0,single,2 people,E,No paid work,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
72366,16-24,M,0,single,2 people,E,No paid work,1,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
64632,45-64,F,0,married,2 people,D,8-29 hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
65919,45-64,F,0,married,2 people,AB,30+ hours per week,4,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
62847,45-64,F,0,married,2 people,AB,8-29 hours per week,3,Digital Terrestrial & Digital Cable,Cable,Digital Multichannel Only,Digital Terrestrial and Digital Cable Only
75111,16-24,F,1,married,3 people,C2,8-29 hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
62456,16-24,M,1,married,3 people,C2,30+ hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
55929,45-64,F,0,single,1 person,E,No paid work,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
54447,16-24,F,0,married,2 people,D,30+ hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
81537,16-24,M,0,married,2 people,D,30+ hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
91677,16-24,F,0,married,2 people,C2,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
93435,25-34,M,0,married,2 people,C2,30+ hours per week,2,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
41067,45-64,M,0,married,3 people,C1,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
85221,45-64,F,0,married,3 people,C1,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
51907,16-24,F,0,single,3 people,C1,30+ hours per week,3,Digital Terrestrial & Digital Satellite,Satellite,Digital Multichannel Only,Digital Terrestrial and Digital Satellite Only
23563,25-34,M,0,married,2 people,C1,30+ hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
84778,16-24,F,0,married,2 people,C1,30+ hours per week,2,Digital Satellite Only,Satellite,Digital Multichannel Only,Digital Satellite Only
70226,35-44,M,2,married,5 people,AB,30+ hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
27279,35-44,F,2,married,5 people,AB,30+ hours per week,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
46622,16-24,F,2,single,5 people,AB,f.t. education / under school,1,Digital Cable Only,Cable,Digital Multichannel Only,Digital Cable Only
